Receiver_1_inlet_temp,Receiver_2_particle_mass_flow,Operating_mode_3,Operating_mode_1,Operating_mode_2,Receiver_3_HTF_mass_flow,PC_efficiency,TES_V_hot_tank_initial,PC_power,Receiver_1_outlet_temp,PC_outlet_temp,DNI,Receiver_2_inlet_temp,Tower_HTF_outlet_temp,Receiver_2_outlet_temp,Receiver_3_inlet_temp,PC_mass_flow,Receiver_3_outlet_temp,HX_1_particle_outlet_temp,HX_2_particle_outlet_temp,HX_3_particle_outlet_temp,Receiver_1_HTF_mass_flow,Receiver_1_particle_mass_flow,Receiver_2_HTF_mass_flow,Receiver_3_particle_mass_flow,TES_discharge_mass_flow,Tower_HTF_inlet_temp,TES_hot_tank_temp,TES_cold_tank_temp,TES_charge_mass_flow,PC_inlet_temp
C,kg/hr,-,-,-,kg/hr,-,-,MWe,C,C,W/m^2,C,C,C,C,kg/hr,C,C,C,C,kg/hr,kg/hr,kg/hr,kg/hr,kg/hr,C,C,C,kg/hr,C
0,0,0,23,0,0,0.494572,0.375501,100.028576,0,528.831979,0,0,0,0,0,965.617857,0,543.840799,543.840799,543.840799,0,0,0,0,965.617857,561.200000,713.245486,543.606111,0,700.100139
0,0,0,23,0,0,0.495107,0.320074,100.025694,0,528.622361,0,0,0,0,0,965.796899,0,543.606111,543.606111,543.606111,0,0,0,0,965.796899,561.200000,713.015000,543.393576,0,699.890347
0,0,0,23,0,0,0.494906,0.264638,100.024392,0,528.286562,0,0,0,0,0,966.935151,0,543.393576,543.393576,543.393576,0,0,0,0,966.935151,561.200000,712.745417,543.197674,0,699.645417
0,0,0,23,0,0,0.494668,0.209139,100.022847,0,527.888507,0,0,0,0,0,968.285867,0,543.197674,543.197674,543.197674,0,0,0,0,968.285867,561.200000,712.420556,543.013681,0,699.354722
0,0,0,23,0,0,0.494353,0.153563,100.098594,0,527.302882,0,0,0,0,0,970.603694,0,543.013681,543.013681,543.013681,0,0,0,0,970.603694,561.200000,712.011736,542.810625,0,698.959028
0,0,0,23,0,0,0.493934,0.097859,100.090399,0,526.591771,0,0,0,0,0,972.991921,0,542.810625,542.810625,542.810625,0,0,0,0,972.991921,561.200000,711.458889,542.573924,0,698.436528
0,0,0,17,0,0,0.453854,0.042023,56.748594,0,561.866667,0,0,0,0,0,730.568770,0,542.573924,542.573924,542.573924,0,0,0,0,730.568770,561.200000,710.663819,543.645278,0,700.915139
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,543.645278,543.645278,543.645278,0,0,0,0,0,561.200000,709.696319,543.583681,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,543.583681,543.583681,543.583681,0,0,0,0,0,561.200000,708.730208,543.522118,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,543.522118,543.522118,543.522118,0,0,0,0,0,561.200000,707.765417,543.460556,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,543.460556,543.460556,543.460556,0,0,0,0,0,561.200000,706.800625,543.398889,0,700
0,0,0,1,0,0,0,0,0,0,537.500000,0,0,0,0,0,0,0,543.398889,543.398889,543.398889,0,0,0,0,0,561.200000,705.837083,543.337222,0,700
