a_sf1,a_sf2,a_sf3,beam,e_ch_tes,eta,eta_field_tot,eta_field1,eta_field2,eta_field3,eta_therm,eta_rec_therm1,eta_rec_therm2,eta_rec_therm3,m_dot_rec,m_dot_rec1,m_dot_rec2,m_dot_rec3,p_cycle,p_out_net,q_ch_tes,q_dc_tes,q_dot_hx1,q_dot_hx2,q_dot_hx3,q_dot_rec_inc,q_dot_rec_inc1,q_dot_rec_inc2,q_dot_rec_inc3,t_hx_tes_out1,t_hx_tes_out2,t_hx_tes_out3,t_pc_in,t_pc_out,t_rec_in1,t_rec_in2,t_rec_in3,t_rec_out1,t_rec_out2,t_rec_out3,t_tes_cold,t_tes_hot,tdry
m2,m2,m2,W/m2,MWh,-,-,-,-,-,-,-,-,-,kg/s,kg/s,kg/s,kg/s,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,C,C,C,C,C,C,C,C,C,C,C,C,C,C
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551.957847,551.957847,551.957847,700,537.500000,0,0,0,0,0,0,551.894583,710.452500,5
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551.894583,551.894583,551.894583,700,537.500000,0,0,0,0,0,0,551.831354,708.822847,5
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551.831354,551.831354,551.831354,700,537.500000,0,0,0,0,0,0,551.768125,707.197014,5
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551.768125,551.768125,551.768125,700,537.500000,0,0,0,0,0,0,551.704792,705.572569,4
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551.704792,551.704792,551.704792,700,537.500000,0,0,0,0,0,0,551.641458,703.951944,4
0,0,0,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551.641458,551.641458,551.641458,700,537.500000,0,0,0,0,0,0,551.578125,702.335000,4
0,0,0,348,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551.578125,551.578125,551.578125,700,537.500000,0,0,0,0,0,0,551.514931,700.724167,5
536060.373333,562752.213333,665212.088889,108,0,0,0.333129,0.387073,0.403119,0.230449,0,0,0,0,0,0,0,0,0,-1.939760,0,0,0,0,0,0,0,0,0,551.514931,551.514931,551.514931,700,537.500000,561.200000,561.200000,561.200000,561.200000,561.200000,561.200000,551.451979,699.121597,7
518655.537778,547349.226667,698002.915556,151,0,0,0.462512,0.568495,0.526783,0.333361,0,0,0,0,0,0,0,0,0,-1.333640,0,0,0,0,0,0,0,0,0,551.451979,551.451979,551.451979,700,537.500000,561.200000,561.200000,561.200000,561.200000,561.200000,561.200000,551.389132,697.525139,8
511838.328889,549455.395556,702641.066667,28,0,0,0,0,0,0,-nan(ind),0.138603,0.133673,0,0,0,0,0,0,-0.606150,0,0,0,0,0,0,0,0,0,551.389132,551.389132,551.389132,700,537.500000,0,0,0,0,0,0,551.326528,695.936875,10
497055.893333,592675.200000,674224.284444,0,0,0,0,0,0,0,-nan(ind),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551.326528,551.326528,551.326528,700,537.500000,0,0,0,0,0,0,551.264063,694.354653,11
