type,power,tht,az,zen,sunid,eta1,eta2,eta3,a1,a2,a3
1,66.8,60,254.415,28.4343,4,0.6034,0.5491,0.6531,35277,38063,32243
1,66.8,60,274.6048,52.8492,5,0.5495,0.4538,0.6577,34889,41563,29131
1,66.8,60,289.571,76.8447,6,0.4208,0.3113,0.565,34509,45528,25546
1,66.8,60,76.173,80.5559,7,0.3663,0.4712,0.2765,34291,25872,45419
1,66.8,60,92.6509,56.1569,8,0.5649,0.6686,0.4619,34625,28813,42145
1,66.8,60,116.5394,32.3797,9,0.6126,0.6718,0.5597,35052,32243,38288
1,66.8,60,180.000005,18.2432,10,0.6296,0.6327,0.6329,35362,35036,35184
1,66.8,60,243.393,32.407,11,0.6121,0.558,0.6731,35324,38047,32212
1,66.8,60,267.2524,56.2034,12,0.562,0.4554,0.6735,34695,41881,29007
1,66.8,60,283.709,80.6307,13,0.3704,0.2735,0.4829,34121,45303,26159
1,66.8,60,98.8891,59.5785,14,0.5675,0.6725,0.4677,34493,28844,42245
1,66.8,60,124.6163,36.7119,15,0.6204,0.672,0.5735,35036,32243,38303
1,66.8,60,180.000005,24.546,16,0.6392,0.6383,0.642,35261,35130,35192
1,66.8,60,235.3146,36.7534,17,0.6287,0.5708,0.6727,34936,38179,32468
1,66.8,60,260.9989,59.6425,18,0.5698,0.4574,0.6807,34462,42168,28953
1,66.8,60,104.9787,63.4725,19,0.594,0.6842,0.4644,33733,29030,42820
1,66.8,60,131.4383,41.7413,20,0.6377,0.6795,0.579,34943,32243,38396
1,66.8,60,180.000005,31.1691,21,0.6518,0.6434,0.6446,35052,35192,35339
1,66.8,60,228.4937,41.7875,22,0.6382,0.5725,0.6767,34819,38257,32507
1,66.8,60,254.9035,63.5441,23,0.5864,0.4595,0.6926,33981,42579,29022
1,66.8,60,110.3156,67.3367,24,0.5835,0.6734,0.4601,33702,29116,42765
1,66.8,60,136.6854,46.7518,25,0.6477,0.6883,0.5831,34726,32429,38428
1,66.8,60,179.96573,37.3717,26,0.6571,0.6456,0.6497,35106,35176,35300
1,66.8,60,223.2577,46.8026,27,0.6376,0.5801,0.6871,34749,38280,32553
1,66.8,60,249.5732,67.415,28,0.5925,0.4587,0.6884,33934,42470,29178
1,66.8,60,115.8588,71.7842,29,0.578,0.6532,0.4514,33934,29240,42408
1,66.8,60,141.5371,52.5042,30,0.6473,0.6857,0.5731,34509,32460,38614
1,66.8,60,179.97203,44.2045,31,0.6678,0.6472,0.6471,34842,35285,35455
1,66.8,60,218.4204,52.5555,32,0.6504,0.5759,0.6911,34703,38226,32654
1,66.8,60,244.0448,71.8635,33,0.5748,0.4548,0.6702,33981,42276,29325
1,66.8,60,121.0339,76.3037,34,0.5407,0.6045,0.44,33942,29767,41873
1,66.8,60,145.6153,58.3232,35,0.6608,0.6838,0.5816,34268,32677,38637
1,66.8,60,180.000005,50.9155,36,0.6732,0.6594,0.6546,34687,35362,35533
1,66.8,60,214.3497,58.3627,37,0.6533,0.5859,0.6939,34470,38451,32662
1,66.8,60,238.8858,76.3673,38,0.5428,0.423,0.6173,33934,41733,29915
1,66.8,60,126.541,81.4167,39,0.4298,0.4531,0.3623,34113,31412,40057
1,66.8,60,149.5643,64.8729,40,0.643,0.6726,0.5887,34641,32514,38428
1,66.8,60,180.000005,58.3033,41,0.6773,0.6564,0.6588,34516,35448,35618
1,66.8,60,210.4317,64.8717,42,0.6558,0.5856,0.6866,34516,38257,32809
