a_sf1,a_sf2,a_sf3,beam,defocus,e_ch_tes,eta,eta_field_tot,eta_field1,eta_field2,eta_field3,eta_therm,eta_rec_therm1,eta_rec_therm2,eta_rec_therm3,htf_pump_power,m_dot_rec,m_dot_rec1,m_dot_rec2,m_dot_rec3,m_dot_pc,m_dot_tes_dc,m_dot_tes_ch,p_cooling_tower_tot,p_cycle,p_out_net,p_tower_pump,pparasi,q_ch_tes,q_dc_tes,q_dot_hx1,q_dot_hx2,q_dot_hx3,q_dot_rec_inc,q_dot_rec_inc1,q_dot_rec_inc2,q_dot_rec_inc3,q_pb,q_thermal,q_startup,tank_losses,t_hx_tes_out1,t_hx_tes_out2,t_hx_tes_out3,t_pc_in,t_pc_out,t_rec_in1,t_rec_in2,t_rec_in3,t_rec_out1,t_rec_out2,t_rec_out3,t_tes_cold,t_tes_hot,tdry
m2,m2,m2,W/m2,-,MWh,-,-,-,-,-,-,-,-,-,MW,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,C,C,C,C,C,C,C,C,C,C,C,C,C,C
421826.097778,532083.768889,627996.871111,909,1,1030.900903,0.456533,0.534331,0.655543,0.531906,0.454967,0.812673,0.813893,0.811404,0.812723,1.452439,1138.933570,1035.260957,1123.810953,1138.934482,0.316371,0.316371,1.070495,0.389447,99.704670,88.059497,8.607369,1.195920,712.499028,203.687639,191.989323,207.937483,210.657066,768.342471,251.361156,257.263840,259.717458,218.395260,624.404306,0,3.086013,706.556944,706.223056,706.168333,691.983542,540.100625,573.561667,583.050417,583.384236,730,730,730,559.736458,704.776458,13
423152.426667,587268.693333,571051.697778,712,1,1264.783056,0.464400,0.536115,0.656811,0.485206,0.499033,0.779200,0.782159,0.777850,0.777590,1.548104,845.401995,780.190017,843.873307,845.402671,0.306366,0.306366,0.801567,0.311684,96.184740,86.684375,6.445043,1.195535,537.369167,197.179913,145.680330,157.245712,157.523108,603.670258,197.886987,202.881920,202.901333,207.116319,470.365069,0,3.082326,707.694236,707.388333,707.381181,692.086806,542.871111,572.942812,582.042222,582.348160,730,730,730,559.894063,705.187639,14
420339.022222,644185.173333,518722.737778,512,1,1362.255833,0.469532,0.531861,0.657493,0.440455,0.543570,0.737646,0.741722,0.736163,0.735054,1.686661,566.735526,524.977131,566.735979,563.396836,0.304134,0.304134,0.537240,0.256990,96.111970,88.651649,4.319707,1.196965,363.579514,197.745868,98.923429,106.591198,105.978689,431.138204,141.501316,145.272178,144.364711,204.697587,318.014375,0,3.088603,709.204931,708.923889,708.945694,692.032986,543.216736,571.713715,580.689132,580.970174,730,730,730,559.938021,705.542014,13
405719.146667,705133.013333,468414.400000,207,1,1261.127500,0.475344,0.512073,0.654708,0.387302,0.576353,0.568231,0.574742,0.566392,0.563559,1.891464,165.250795,153.701575,165.250927,162.772298,0.301712,0.301712,0.156366,0.209214,96.060035,91.508090,1.257268,1.193995,108.757943,200.331979,29.747270,31.936730,31.467157,167.400693,54.984907,56.531533,55.884258,202.085486,95.115252,0,3.094230,713.293819,713.074236,713.120208,691.325903,542.905833,567.162153,576.644236,576.863785,730,730,730,559.714062,705.632292,12
371235.235556,751281.137778,412437.511111,357,1,1218.697500,0.473402,0.455566,0.611312,0.318032,0.565905,0.650461,0.653490,0.651774,0.646119,1.833061,289.631170,259.507625,289.631402,281.137153,0.303229,0.303229,0.269500,0.139432,96.440833,91.140972,2.166929,1.160445,185.551059,200.343177,49.750560,55.392886,53.803477,249.640249,81.017760,85.298551,83.323929,203.718819,162.376858,0,3.109026,711.623889,711.260694,711.359722,691.761181,543.017326,568.434444,578.090174,578.453368,730,730,730,559.594097,705.847222,9
0,0,0,0,1,1034.454722,0.481063,0,0,0,0,0,0,0,0,1.970593,0,0,0,0,0.299975,0.299975,0,0.095560,96.115573,94.049418,0,0,0,200.941389,0,0,0,0,0,0,0,199.798212,0,0,3.118350,559.594097,559.594097,559.594097,689.790486,541.870347,0,0,0,0,0,0,559.375208,705.661875,7
0,0,0,0,1,849.555000,0.481695,0,0,0,0,0,0,0,0,1.969299,0,0,0,0,0.299779,0.299779,0,0.095669,96.114201,94.049236,0,0,0,200.727344,0,0,0,0,0,0,0,199.533472,0,0,3.117333,559.375208,559.375208,559.375208,689.598750,541.740417,0,0,0,0,0,0,559.177257,705.445139,7
0,0,0,0,1,663.873542,0.482447,0,0,0,0,0,0,0,0,1.967868,0,0,0,0,0.299562,0.299562,0,0.083057,96.121432,94.070512,0,0,0,200.491771,0,0,0,0,0,0,0,199.237170,0,0,3.121251,559.177257,559.177257,559.177257,689.370486,541.580104,0,0,0,0,0,0,558.993889,705.183958,6
0,0,0,0,1,477.248229,0.483374,0,0,0,0,0,0,0,0,1.965980,0,0,0,0,0.299275,0.299275,0,0.083171,96.119332,94.070182,0,0,0,200.179826,0,0,0,0,0,0,0,198.850764,0,0,3.120079,558.993889,558.993889,558.993889,689.090833,541.390833,0,0,0,0,0,0,558.820486,704.855903,6
0,0,0,0,1,289.368160,0.484582,0,0,0,0,0,0,0,0,1.963530,0,0,0,0,0.298903,0.298903,0,0.083319,96.116606,94.069757,0,0,0,199.775330,0,0,0,0,0,0,0,198.349306,0,0,3.118708,558.820486,558.820486,558.820486,688.727847,541.145382,0,0,0,0,0,0,558.651701,704.414653,6
